date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:35	31225/31225	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e15b-79f9%22	http://mirror.corenoc.de/digitalrivercontent.net/X15-65805.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X15-65805.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:36	31259/31259	---M--	200	added ('OK')	application/octet-stream	etag:%225540d289-7a1b%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_x64_dvd_x15-65805.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_x64_dvd_x15-65805.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:37	32125/32125	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e17b-7d7d%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-24281.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-24281.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:37	32165/32165	---M--	200	added ('OK')	application/octet-stream	etag:%225540d2a5-7da5%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x64_dvd_621750.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x64_dvd_621750.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:40	24925/24925	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e198-615d%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59183.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59183.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:40	24967/24967	---M--	200	added ('OK')	application/octet-stream	etag:%22553fff04-6187%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x86_dvd_u_677056.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x86_dvd_u_677056.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:42	32187/32187	---M--	200	added ('OK')	application/octet-stream	etag:%22553ffee9-7dbb%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x64_dvd_u_676939.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_professional_with_sp1_x64_dvd_u_676939.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:42	12665/12665	---MCZ	200	added ('OK')	text/plain	etag:W/%2255549939-3179%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-24394.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-24394.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:42	32145/32145	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e1b5-7d91%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59186.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59186.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:43	24961/24961	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d2bd-6181%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x86_dvd_619077.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x86_dvd_619077.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:45	24925/24925	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e1d1-615d%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59463.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59463.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:48	24963/24963	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d2d8-6183%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x86_dvd_u_677460.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x86_dvd_u_677460.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:49	32145/32145	---MCZ	200	added ('OK')	text/plain	etag:W/%225540e1ef-7d91%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59465.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59465.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:50	28237/28237	---M--	200	added ('OK')	application/octet-stream	etag:%225540d313-6e4d%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_x64_dvd_x16-13641.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_x64_dvd_x16-13641.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:50	32183/32183	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d2f7-7db7%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x64_dvd_u_677332.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_with_sp1_x64_dvd_u_677332.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:53	22143/22143	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d329-567f%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_with_sp1_x86_dvd_620065.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_with_sp1_x86_dvd_620065.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:53	28885/28885	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d342-70d5%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_with_sp1_x64_dvd_u_677543.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_ultimate_n_with_sp1_x64_dvd_u_677543.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:54	21005/21005	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a668-520d%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_n_with_sp1_x86_dvd_620372.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_n_with_sp1_x86_dvd_620372.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:54	27625/27625	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a63f-6be9%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_n_with_sp1_x64_dvd_620165.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_n_with_sp1_x64_dvd_620165.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:55	23725/23725	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a6c9-5cad%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_with_sp1_x86_dvd_u_677710.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_with_sp1_x86_dvd_u_677710.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:56	10684/10684	---MCZ	200	added ('OK')	text/plain	etag:W/%22554bca44-29bc%22	http://mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_starter_n_with_sp1_x86_dvd_u_678606.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_starter_n_with_sp1_x86_dvd_u_678606.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:58	30865/30865	---MCZ	200	added ('OK')	text/plain	etag:W/%225540a6a0-7891%22	http://mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_with_sp1_x64_dvd_u_677651.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/en_windows_7_enterprise_with_sp1_x64_dvd_u_677651.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:58	15707/15707	---MCZ	200	added ('OK')	text/plain	etag:W/%22554bca85-3d5b%22	http://mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_professional_with_sp1_x64_dvd_u_676937.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_professional_with_sp1_x64_dvd_u_676937.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:58	15665/15665	---MCZ	200	added ('OK')	text/plain	etag:W/%22554bbf2c-3d31%22	http://mirror.corenoc.de/digitalrivercontent.net/X17-59236.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X17-59236.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:14:58	15703/15703	---MCZ	200	added ('OK')	text/plain	etag:W/%22554bca14-3d57%22	http://mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_ultimate_with_sp1_x64_dvd_u_677325.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/nl_windows_7_ultimate_with_sp1_x64_dvd_u_677325.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
